title,year,duration,genre,rating,movie_url
Du rififi chez les hommes,1955,1h 58min,Crime,8.1,https://www.imdb.com/title/tt0048021/
La battaglia di Algeri,1966,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0058946/
Andrey Rublev,1966,3h 25min,Biography,8.1,https://www.imdb.com/title/tt0060107/
Les quatre cents coups,1959,1h 39min,Crime,8.1,https://www.imdb.com/title/tt0053198/
Persona,1966,1h 25min,Drama,8.1,https://www.imdb.com/title/tt0060827/
Cool Hand Luke,1967,2h 7min,Crime,8.1,https://www.imdb.com/title/tt0061512/
Network,1976,2h 1min,Drama,8.1,https://www.imdb.com/title/tt0074958/
Barry Lyndon,1975,3h 5min,Adventure,8.1,https://www.imdb.com/title/tt0072684/
Stalker,1979,2h 42min,Drama,8.1,https://www.imdb.com/title/tt0079944/
Rocky,1976,2h,Drama,8.1,https://www.imdb.com/title/tt0075148/
The Elephant Man,1980,2h 4min,Biography,8.1,https://www.imdb.com/title/tt0080678/
Fanny och Alexander,1982,3h 8min,,8.1,https://www.imdb.com/title/tt0083922/
Platoon,1986,2h,Drama,8.1,https://www.imdb.com/title/tt0091763/
Stand by Me,1986,1h 29min,Adventure,8.1,https://www.imdb.com/title/tt0092005/
The Deer Hunter,1978,3h 3min,Drama,8.1,https://www.imdb.com/title/tt0077416/
Dead Poets Society,1989,2h 8min,Comedy,8.1,https://www.imdb.com/title/tt0097165/
Trois couleurs: Rouge,1994,1h 39min,Drama,8.1,https://www.imdb.com/title/tt0111495/
In the Name of the Father,1993,2h 13min,,8.1,https://www.imdb.com/title/tt0107207/
Before Sunrise,1995,1h 41min,Drama,8.1,https://www.imdb.com/title/tt0112471/
La haine,1995,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0113247/
Fargo,1996,1h 38min,Crime,8.1,https://www.imdb.com/title/tt0116282/
Trainspotting,1996,1h 33min,Drama,8.1,https://www.imdb.com/title/tt0117951/
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,1h 27min,Animation,8.1,https://www.imdb.com/title/tt0169858/
Hachi: A Dog's Tale,2009,1h 33min,Biography,8.1,https://www.imdb.com/title/tt1028532/
The Truman Show,1998,1h 43min,Comedy,8.1,https://www.imdb.com/title/tt0120382/
The Sixth Sense,1999,1h 47min,Drama,8.1,https://www.imdb.com/title/tt0167404/
Gran Torino,2008,1h 56min,Drama,8.1,https://www.imdb.com/title/tt1205489/
Fa yeung nin wah,2000,1h 38min,Drama,8.1,https://www.imdb.com/title/tt0118694/
Harry Potter and the Deathly Hallows: Part 2,2011,2h 10min,Adventure,8.1,https://www.imdb.com/title/tt1201607/
Warrior,2011,2h 20min,Action,8.1,https://www.imdb.com/title/tt1291584/
Spotlight,2015,2h 9min,Biography,8.1,https://www.imdb.com/title/tt1895587/
Ford v Ferrari,2019,2h 32min,Action,8.1,https://www.imdb.com/title/tt1950186/
Hacksaw Ridge,2016,2h 19min,Biography,8.1,https://www.imdb.com/title/tt2119532/
Gone Girl,2014,2h 29min,Drama,8.1,https://www.imdb.com/title/tt2267998/
12 Years a Slave,2013,2h 14min,Biography,8.1,https://www.imdb.com/title/tt2024544/
Prisoners,2013,2h 33min,Crime,8.1,https://www.imdb.com/title/tt1392214/
Inside Out,2015,1h 35min,Animation,8.1,https://www.imdb.com/title/tt2096673/
Relatos salvajes,2014,2h 2min,Comedy,8.1,https://www.imdb.com/title/tt3011894/
Room,2015,1h 58min,Drama,8.1,https://www.imdb.com/title/tt3170832/
Ah-ga-ssi,2016,2h 25min,Drama,8.1,https://www.imdb.com/title/tt4016934/
The Gold Rush,1925,1h 35min,Adventure,8.2,https://www.imdb.com/title/tt0015864/
"Three Billboards Outside Ebbing, Missouri",2017,1h 55min,Comedy,8.1,https://www.imdb.com/title/tt5027774/
Logan,2017,2h 17min,Action,8.1,https://www.imdb.com/title/tt3315342/
Rashomon,1950,1h 28min,Crime,8.2,https://www.imdb.com/title/tt0042876/
The Treasure of the Sierra Madre,1948,2h 6min,Adventure,8.2,https://www.imdb.com/title/tt0040897/
All About Eve,1950,2h 18min,Drama,8.2,https://www.imdb.com/title/tt0042192/
Tôkyô monogatari,1953,2h 16min,Drama,8.2,https://www.imdb.com/title/tt0046438/
Det sjunde inseglet,1957,1h 36min,,8.2,https://www.imdb.com/title/tt0050976/
Smultronstället,1957,1h 31min,,8.2,https://www.imdb.com/title/tt0050986/
Judgment at Nuremberg,1961,2h 59min,Drama,8.2,https://www.imdb.com/title/tt0055031/
Yojinbo,1961,1h 50min,Action,8.2,https://www.imdb.com/title/tt0055630/
The Great Escape,1963,2h 52min,Adventure,8.2,https://www.imdb.com/title/tt0057115/
Höstsonaten,1978,1h 39min,,8.2,https://www.imdb.com/title/tt0077711/
Chinatown,1974,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0071315/
Ran,1985,2h 42min,Action,8.2,https://www.imdb.com/title/tt0089881/
Unforgiven,1992,2h 10min,Drama,8.2,https://www.imdb.com/title/tt0105695/
Casino,1995,2h 58min,Crime,8.2,https://www.imdb.com/title/tt0112641/
Heat,1995,2h 50min,Crime,8.2,https://www.imdb.com/title/tt0113277/
L.A. Confidential,1997,2h 18min,Crime,8.2,https://www.imdb.com/title/tt0119488/
Eskiya,1996,2h 8min,,8.2,https://www.imdb.com/title/tt0116231/
Raging Bull,1980,2h 9min,Biography,8.2,https://www.imdb.com/title/tt0081398/
Der Untergang,2004,2h 36min,,8.2,https://www.imdb.com/title/tt0363163/
A Beautiful Mind,2001,2h 15min,Biography,8.2,https://www.imdb.com/title/tt0268978/
A Clockwork Orange,1971,2h 16min,Crime,8.3,https://www.imdb.com/title/tt0066921/
Taxi Driver,1976,1h 54min,Crime,8.3,https://www.imdb.com/title/tt0075314/
Das Boot,1981,,Adventure,8.3,https://www.imdb.com/title/tt0082096/
The Sting,1973,2h 9min,Comedy,8.3,https://www.imdb.com/title/tt0070735/
Scarface,1983,2h 50min,Crime,8.3,https://www.imdb.com/title/tt0086250/
To Kill a Mockingbird,1962,2h 9min,Crime,8.3,https://www.imdb.com/title/tt0056592/
Idi i smotri,1985,2h 22min,Drama,8.3,https://www.imdb.com/title/tt0091251/
Amadeus,1984,2h 40min,Biography,8.3,https://www.imdb.com/title/tt0086879/
Reservoir Dogs,1992,1h 39min,Crime,8.3,https://www.imdb.com/title/tt0105236/
Braveheart,1995,2h 58min,Biography,8.3,https://www.imdb.com/title/tt0112573/
Bacheha-Ye aseman,1997,1h 29min,Drama,8.3,https://www.imdb.com/title/tt0118849/
Full Metal Jacket,1987,1h 56min,Drama,8.3,https://www.imdb.com/title/tt0093058/
Requiem for a Dream,2000,1h 42min,Drama,8.3,https://www.imdb.com/title/tt0180093/
American Beauty,1999,2h 2min,Drama,8.3,https://www.imdb.com/title/tt0169547/
Eternal Sunshine of the Spotless Mind,2004,1h 48min,Drama,8.3,https://www.imdb.com/title/tt0338013/
Good Will Hunting,1997,2h 6min,Drama,8.3,https://www.imdb.com/title/tt0119217/
Babam ve Oglum,2005,1h 52min,,8.3,https://www.imdb.com/title/tt0476735/
The Father,2020,1h 37min,Drama,8.3,https://www.imdb.com/title/tt10272386/
Incendies,2010,2h 11min,Drama,8.3,https://www.imdb.com/title/tt1255953/
Jagten,2012,1h 55min,Drama,8.3,https://www.imdb.com/title/tt2106476/
Inglourious Basterds,2009,2h 33min,Adventure,8.3,https://www.imdb.com/title/tt0361748/
1917,2019,1h 59min,Drama,8.3,https://www.imdb.com/title/tt8579674/
The Great Dictator,1940,2h 5min,Comedy,8.4,https://www.imdb.com/title/tt0032553/
Sunset Blvd.,1950,1h 50min,Drama,8.4,https://www.imdb.com/title/tt0043014/
