title,url,product_price,rating_reviews
Proda 10000 mAh Biaphon Series Power Bank PPP-28 Black,https://www.goto.com.pk/remax-10000-mah-biaphon-series-power-bank-ppp-28-hm00-24-black,"Rs. 2,521",(4 Reviews)
Remax 2 USB Moon Charger Adapter RMT7188 White,https://www.goto.com.pk/remax-2-usb-moon-charger-adapter-hm00-13-white,Rs. 936,(4 Reviews)
Remax Fabric Wireless Bluetooth Speaker RB-M11 White,https://www.goto.com.pk/remax-fabric-bluetooth-speaker-perfect-voice-hm00-66-white,"Rs. 2,701",(7 Reviews)
Remax Bluetooth Selfie Stick XT-P01 White,https://www.goto.com.pk/remax-bluetooth-selfie-stick-xt-p01-hm00-46-white,"Rs. 1,242",(4 Reviews)
Remax Cutie Data Cable For Micro/Type-C/Lightning  RC-073th Black,https://www.goto.com.pk/remax-cutie-data-cable-for-micro-type-c-lightning-hm00-128-black,Rs. 469,(4 Reviews)
Romoss 5000 mAh Power Bank Q series QS05 White,https://www.goto.com.pk/romoss-5000-mah-power-bank-q-series-hm00-152-white,"Rs. 1,764",(13 Reviews)
Romoss 16000 mAh Solo 6 Power Bank PH80 White,https://www.goto.com.pk/romoss-16000-mah-solo-6-power-bank-hm00-161-white,"Rs. 2,891",(6 Reviews)
WK Design Sport Earphone BD600 Green,https://www.goto.com.pk/WK-sport-earphone-bd600-hm00-15-green,"Rs. 2,518",(7 Reviews)
Baseus 2 USB Funzi Dual USB Charger FZ01 Black,https://www.goto.com.pk/baseus-2-usb-funzi-dual-usb-charger-hm00-215-black,Rs. 779,(1 Reviews)
Baseus Encok Wire Earphone H31 Pink,https://www.goto.com.pk/baseus-encok-wire-earphone-h31-hm00-168-pink,"Rs. 1,214",(4 Reviews)
Baseus Desktop Charging Station ZCVL-0S Silver,https://www.goto.com.pk/baseus-desktop-charging-station-hm00-183-silver,"Rs. 1,246",(1 Reviews)
Baseus Desktop Charging Station ZCVL-0V Gold,https://www.goto.com.pk/baseus-desktop-charging-station-hm00-184-gold,"Rs. 1,246",(3 Reviews)
Remax Crazy Robot In-Ear Earphone Designed For Smart Phone RM-502 Red,https://www.goto.com.pk/remax-crazy-robot-in-ear-earphone-designed-for-smart-phone-rm-502-hm00-93-red,Rs. 482,(0 Reviews)
Baseus Mini Dual U Charger MN02 White,https://www.goto.com.pk/baseus-mini-dual-u-charger-hm00-213-white,Rs. 622,(0 Reviews)
Remax In-Ear Earphone 575 Pro Black & Blue,https://www.goto.com.pk/remax-in-ear-earphone-575-pro-hm00-35-black-blue,Rs. 783,(4 Reviews)
Remax In-Ear Music Earphones With Microphone RM-515 White,https://www.goto.com.pk/remax-colorful-fashionable-earphone-rm-515-hm00-90-white,Rs. 670,(0 Reviews)
Remax Crazy Robot In-Ear Earphone Designed For Smart Phone RM-502 Sky Blue,https://www.goto.com.pk/remax-crazy-robot-in-ear-earphone-designed-for-smart-phone-rm-502-hm00-31-sky-blue,Rs. 482,(4 Reviews)
Remax Crazy Robot In-Ear Earphone Designed For Smart Phone RM-502 Pink,https://www.goto.com.pk/remax-crazy-robot-in-ear-earphone-designed-for-smart-phone-rm-502-hm00-95-pink,Rs. 482,(7 Reviews)
Remax Colorful & Fashionable Earphone RM-515 Yellow,https://www.goto.com.pk/remax-colorful-fashionable-earphone-rm-515-hm00-37-yellow,Rs. 670,(4 Reviews)
Remax Crazy Robot Earphone Designed For Smart Phone RM-502 White,https://www.goto.com.pk/remax-crazy-robot-in-ear-earphone-designed-for-smart-phone-rm-502-hm00-30-white,Rs. 482,(4 Reviews)
Remax Crazy Robot In-Ear Earphone Designed For Smart Phone RM-502 Yellow,https://www.goto.com.pk/remax-crazy-robot-in-ear-earphone-designed-for-smart-phone-rm-502-hm00-94-yellow,Rs. 482,(4 Reviews)
Remax In-Ear Earphone 575 Pro White & Gold,https://www.goto.com.pk/remax-in-ear-earphone-575-pro-hm00-45-white-gold,Rs. 783,(3 Reviews)
Remax Colorful & Fashionable Earphone RM-515 Black,https://www.goto.com.pk/remax-colorful-fashionable-earphone-rm-515-hm00-96-black,Rs. 670,(4 Reviews)
Remax Business Remote Self Timer Wireless Bluetooth 4.1 Earphone T7 White,https://www.goto.com.pk/remax-bluetooth-headset-rb-t7-hm00-8-white,"Rs. 1,381",(0 Reviews)
Remax USB Data Cable For Iphone 5/5C/5S Ipad Air 2/Iphone 6/Iphone 6Plus RC-007i White,https://www.goto.com.pk/remax-usb-data-cable-for-iphone-5-5c-5s-ipad-air-2-iphone-6-iphone-6plus-hm00-98-white,Rs. 281,(7 Reviews)
Remax Flinc Charger With 2 USB Port RP-U29 Black,https://www.goto.com.pk/remax-flinc-charger-with-2-usb-port-hm00-111-black,Rs. 778,(18 Reviews)
Remax 5000 mAh Power Bank Ultra Slim RPP-78 Yellow,https://www.goto.com.pk/remax-5000-mah-power-bank-ultra-slim-rpp-78-hm00-142-yellow,"Rs. 1,775",(1 Reviews)
Remax Bluetooth Headset RB-T13 White,https://www.goto.com.pk/remax-hd-voice-bluetooth-headset-rb-t13-hm00-25-white,"Rs. 1,230",(2 Reviews)
Remax Lemen Car Charger For Lightning/Micro/Type-C RCC211 Blue,https://www.goto.com.pk/remax-lemen-car-charger-for-lightning-micro-type-c-hm00-70-blue,"Rs. 1,292",(1 Reviews)
Baseus Neck Hung Bluetooth Earphone E16 Black & Silver,https://www.goto.com.pk/baseus-neck-hung-bluetooth-earphone-e16-hm00-195-black-silver,"Rs. 4,446",(0 Reviews)
Remax Rayen Data Cable For Type C RC-075a White,https://www.goto.com.pk/remax-rayen-data-cable-for-type-c-hm00-58-white,Rs. 356,(1 Reviews)
